r,t,f,y,InputToNewCapacity
"EXAMPLE","DEMAGRELC","AGRELC",2019,0
"EXAMPLE","DEMAGRELC","AGRELC",2020,0
"EXAMPLE","DEMAGRELC","AGRELC",2021,0
"EXAMPLE","DEMAGRELC","AGRELC",2022,0
"EXAMPLE","DEMAGRELC","AGRWAT",2019,0
"EXAMPLE","DEMAGRELC","AGRWAT",2020,0
"EXAMPLE","DEMAGRELC","AGRWAT",2021,0
"EXAMPLE","DEMAGRELC","AGRWAT",2022,0
"EXAMPLE","DEMAGRELC","BIO",2019,0
"EXAMPLE","DEMAGRELC","BIO",2020,0
"EXAMPLE","DEMAGRELC","BIO",2021,0
"EXAMPLE","DEMAGRELC","BIO",2022,0
"EXAMPLE","DEMAGRELC","BLT",2019,0
"EXAMPLE","DEMAGRELC","BLT",2020,0
"EXAMPLE","DEMAGRELC","BLT",2021,0
"EXAMPLE","DEMAGRELC","BLT",2022,0
"EXAMPLE","DEMAGRELC","COMELC",2019,0
"EXAMPLE","DEMAGRELC","COMELC",2020,0
"EXAMPLE","DEMAGRELC","COMELC",2021,0
"EXAMPLE","DEMAGRELC","COMELC",2022,0
"EXAMPLE","DEMAGRELC","CRPCP01",2019,0
"EXAMPLE","DEMAGRELC","CRPCP01",2020,0
"EXAMPLE","DEMAGRELC","CRPCP01",2021,0
"EXAMPLE","DEMAGRELC","CRPCP01",2022,0
"EXAMPLE","DEMAGRELC","CRPCP02",2019,0
"EXAMPLE","DEMAGRELC","CRPCP02",2020,0
"EXAMPLE","DEMAGRELC","CRPCP02",2021,0
"EXAMPLE","DEMAGRELC","CRPCP02",2022,0
"EXAMPLE","DEMAGRELC","ELC001",2019,0
"EXAMPLE","DEMAGRELC","ELC001",2020,0
"EXAMPLE","DEMAGRELC","ELC001",2021,0
"EXAMPLE","DEMAGRELC","ELC001",2022,0
"EXAMPLE","DEMAGRELC","ELC002",2019,0
"EXAMPLE","DEMAGRELC","ELC002",2020,0
"EXAMPLE","DEMAGRELC","ELC002",2021,0
"EXAMPLE","DEMAGRELC","ELC002",2022,0
"EXAMPLE","DEMAGRELC","GEO",2019,0
"EXAMPLE","DEMAGRELC","GEO",2020,0
"EXAMPLE","DEMAGRELC","GEO",2021,0
"EXAMPLE","DEMAGRELC","GEO",2022,0
"EXAMPLE","DEMAGRELC","HYD",2019,0
"EXAMPLE","DEMAGRELC","HYD",2020,0
"EXAMPLE","DEMAGRELC","HYD",2021,0
"EXAMPLE","DEMAGRELC","HYD",2022,0
"EXAMPLE","DEMAGRELC","LND",2019,0
"EXAMPLE","DEMAGRELC","LND",2020,0
"EXAMPLE","DEMAGRELC","LND",2021,0
"EXAMPLE","DEMAGRELC","LND",2022,0
"EXAMPLE","DEMAGRELC","PUBWAT",2019,0
"EXAMPLE","DEMAGRELC","PUBWAT",2020,0
"EXAMPLE","DEMAGRELC","PUBWAT",2021,0
"EXAMPLE","DEMAGRELC","PUBWAT",2022,0
"EXAMPLE","DEMAGRELC","SOL",2019,0
"EXAMPLE","DEMAGRELC","SOL",2020,0
"EXAMPLE","DEMAGRELC","SOL",2021,0
"EXAMPLE","DEMAGRELC","SOL",2022,0
"EXAMPLE","DEMAGRELC","WND",2019,0
"EXAMPLE","DEMAGRELC","WND",2020,0
"EXAMPLE","DEMAGRELC","WND",2021,0
"EXAMPLE","DEMAGRELC","WND",2022,0
"EXAMPLE","DEMAGRELC","WTREVT",2019,0
"EXAMPLE","DEMAGRELC","WTREVT",2020,0
"EXAMPLE","DEMAGRELC","WTREVT",2021,0
"EXAMPLE","DEMAGRELC","WTREVT",2022,0
"EXAMPLE","DEMAGRELC","WTRGWT",2019,0
"EXAMPLE","DEMAGRELC","WTRGWT",2020,0
"EXAMPLE","DEMAGRELC","WTRGWT",2021,0
"EXAMPLE","DEMAGRELC","WTRGWT",2022,0
"EXAMPLE","DEMAGRELC","WTRPRC",2019,0
"EXAMPLE","DEMAGRELC","WTRPRC",2020,0
"EXAMPLE","DEMAGRELC","WTRPRC",2021,0
"EXAMPLE","DEMAGRELC","WTRPRC",2022,0
"EXAMPLE","DEMAGRELC","WTRSUR",2019,0
"EXAMPLE","DEMAGRELC","WTRSUR",2020,0
"EXAMPLE","DEMAGRELC","WTRSUR",2021,0
"EXAMPLE","DEMAGRELC","WTRSUR",2022,0
"EXAMPLE","DEMAGRGWTWAT","AGRELC",2019,0
"EXAMPLE","DEMAGRGWTWAT","AGRELC",2020,0
"EXAMPLE","DEMAGRGWTWAT","AGRELC",2021,0
"EXAMPLE","DEMAGRGWTWAT","AGRELC",2022,0
"EXAMPLE","DEMAGRGWTWAT","AGRWAT",2019,0
"EXAMPLE","DEMAGRGWTWAT","AGRWAT",2020,0
"EXAMPLE","DEMAGRGWTWAT","AGRWAT",2021,0
"EXAMPLE","DEMAGRGWTWAT","AGRWAT",2022,0
"EXAMPLE","DEMAGRGWTWAT","BIO",2019,0
"EXAMPLE","DEMAGRGWTWAT","BIO",2020,0
"EXAMPLE","DEMAGRGWTWAT","BIO",2021,0
"EXAMPLE","DEMAGRGWTWAT","BIO",2022,0
"EXAMPLE","DEMAGRGWTWAT","BLT",2019,0
"EXAMPLE","DEMAGRGWTWAT","BLT",2020,0
"EXAMPLE","DEMAGRGWTWAT","BLT",2021,0
"EXAMPLE","DEMAGRGWTWAT","BLT",2022,0
"EXAMPLE","DEMAGRGWTWAT","COMELC",2019,0
"EXAMPLE","DEMAGRGWTWAT","COMELC",2020,0
"EXAMPLE","DEMAGRGWTWAT","COMELC",2021,0
"EXAMPLE","DEMAGRGWTWAT","COMELC",2022,0
"EXAMPLE","DEMAGRGWTWAT","CRPCP01",2019,0
"EXAMPLE","DEMAGRGWTWAT","CRPCP01",2020,0
"EXAMPLE","DEMAGRGWTWAT","CRPCP01",2021,0
"EXAMPLE","DEMAGRGWTWAT","CRPCP01",2022,0
"EXAMPLE","DEMAGRGWTWAT","CRPCP02",2019,0
"EXAMPLE","DEMAGRGWTWAT","CRPCP02",2020,0
"EXAMPLE","DEMAGRGWTWAT","CRPCP02",2021,0
"EXAMPLE","DEMAGRGWTWAT","CRPCP02",2022,0
"EXAMPLE","DEMAGRGWTWAT","ELC001",2019,0
"EXAMPLE","DEMAGRGWTWAT","ELC001",2020,0
"EXAMPLE","DEMAGRGWTWAT","ELC001",2021,0
"EXAMPLE","DEMAGRGWTWAT","ELC001",2022,0
"EXAMPLE","DEMAGRGWTWAT","ELC002",2019,0
"EXAMPLE","DEMAGRGWTWAT","ELC002",2020,0
"EXAMPLE","DEMAGRGWTWAT","ELC002",2021,0
"EXAMPLE","DEMAGRGWTWAT","ELC002",2022,0
"EXAMPLE","DEMAGRGWTWAT","GEO",2019,0
"EXAMPLE","DEMAGRGWTWAT","GEO",2020,0
"EXAMPLE","DEMAGRGWTWAT","GEO",2021,0
"EXAMPLE","DEMAGRGWTWAT","GEO",2022,0
"EXAMPLE","DEMAGRGWTWAT","HYD",2019,0
"EXAMPLE","DEMAGRGWTWAT","HYD",2020,0
"EXAMPLE","DEMAGRGWTWAT","HYD",2021,0
"EXAMPLE","DEMAGRGWTWAT","HYD",2022,0
"EXAMPLE","DEMAGRGWTWAT","LND",2019,0
"EXAMPLE","DEMAGRGWTWAT","LND",2020,0
"EXAMPLE","DEMAGRGWTWAT","LND",2021,0
"EXAMPLE","DEMAGRGWTWAT","LND",2022,0
"EXAMPLE","DEMAGRGWTWAT","PUBWAT",2019,0
"EXAMPLE","DEMAGRGWTWAT","PUBWAT",2020,0
"EXAMPLE","DEMAGRGWTWAT","PUBWAT",2021,0
"EXAMPLE","DEMAGRGWTWAT","PUBWAT",2022,0
"EXAMPLE","DEMAGRGWTWAT","SOL",2019,0
"EXAMPLE","DEMAGRGWTWAT","SOL",2020,0
"EXAMPLE","DEMAGRGWTWAT","SOL",2021,0
"EXAMPLE","DEMAGRGWTWAT","SOL",2022,0
"EXAMPLE","DEMAGRGWTWAT","WND",2019,0
"EXAMPLE","DEMAGRGWTWAT","WND",2020,0
"EXAMPLE","DEMAGRGWTWAT","WND",2021,0
"EXAMPLE","DEMAGRGWTWAT","WND",2022,0
"EXAMPLE","DEMAGRGWTWAT","WTREVT",2019,0
"EXAMPLE","DEMAGRGWTWAT","WTREVT",2020,0
"EXAMPLE","DEMAGRGWTWAT","WTREVT",2021,0
"EXAMPLE","DEMAGRGWTWAT","WTREVT",2022,0
"EXAMPLE","DEMAGRGWTWAT","WTRGWT",2019,0
"EXAMPLE","DEMAGRGWTWAT","WTRGWT",2020,0
"EXAMPLE","DEMAGRGWTWAT","WTRGWT",2021,0
"EXAMPLE","DEMAGRGWTWAT","WTRGWT",2022,0
"EXAMPLE","DEMAGRGWTWAT","WTRPRC",2019,0
"EXAMPLE","DEMAGRGWTWAT","WTRPRC",2020,0
"EXAMPLE","DEMAGRGWTWAT","WTRPRC",2021,0
"EXAMPLE","DEMAGRGWTWAT","WTRPRC",2022,0
"EXAMPLE","DEMAGRGWTWAT","WTRSUR",2019,0
"EXAMPLE","DEMAGRGWTWAT","WTRSUR",2020,0
"EXAMPLE","DEMAGRGWTWAT","WTRSUR",2021,0
"EXAMPLE","DEMAGRGWTWAT","WTRSUR",2022,0
"EXAMPLE","DEMAGRSURWAT","AGRELC",2019,0
"EXAMPLE","DEMAGRSURWAT","AGRELC",2020,0
"EXAMPLE","DEMAGRSURWAT","AGRELC",2021,0
"EXAMPLE","DEMAGRSURWAT","AGRELC",2022,0
"EXAMPLE","DEMAGRSURWAT","AGRWAT",2019,0
"EXAMPLE","DEMAGRSURWAT","AGRWAT",2020,0
"EXAMPLE","DEMAGRSURWAT","AGRWAT",2021,0
"EXAMPLE","DEMAGRSURWAT","AGRWAT",2022,0
"EXAMPLE","DEMAGRSURWAT","BIO",2019,0
"EXAMPLE","DEMAGRSURWAT","BIO",2020,0
"EXAMPLE","DEMAGRSURWAT","BIO",2021,0
"EXAMPLE","DEMAGRSURWAT","BIO",2022,0
"EXAMPLE","DEMAGRSURWAT","BLT",2019,0
"EXAMPLE","DEMAGRSURWAT","BLT",2020,0
"EXAMPLE","DEMAGRSURWAT","BLT",2021,0
"EXAMPLE","DEMAGRSURWAT","BLT",2022,0
"EXAMPLE","DEMAGRSURWAT","COMELC",2019,0
"EXAMPLE","DEMAGRSURWAT","COMELC",2020,0
"EXAMPLE","DEMAGRSURWAT","COMELC",2021,0
"EXAMPLE","DEMAGRSURWAT","COMELC",2022,0
"EXAMPLE","DEMAGRSURWAT","CRPCP01",2019,0
"EXAMPLE","DEMAGRSURWAT","CRPCP01",2020,0
"EXAMPLE","DEMAGRSURWAT","CRPCP01",2021,0
"EXAMPLE","DEMAGRSURWAT","CRPCP01",2022,0
"EXAMPLE","DEMAGRSURWAT","CRPCP02",2019,0
"EXAMPLE","DEMAGRSURWAT","CRPCP02",2020,0
"EXAMPLE","DEMAGRSURWAT","CRPCP02",2021,0
"EXAMPLE","DEMAGRSURWAT","CRPCP02",2022,0
"EXAMPLE","DEMAGRSURWAT","ELC001",2019,0
"EXAMPLE","DEMAGRSURWAT","ELC001",2020,0
"EXAMPLE","DEMAGRSURWAT","ELC001",2021,0
"EXAMPLE","DEMAGRSURWAT","ELC001",2022,0
"EXAMPLE","DEMAGRSURWAT","ELC002",2019,0
"EXAMPLE","DEMAGRSURWAT","ELC002",2020,0
"EXAMPLE","DEMAGRSURWAT","ELC002",2021,0
"EXAMPLE","DEMAGRSURWAT","ELC002",2022,0
"EXAMPLE","DEMAGRSURWAT","GEO",2019,0
"EXAMPLE","DEMAGRSURWAT","GEO",2020,0
"EXAMPLE","DEMAGRSURWAT","GEO",2021,0
"EXAMPLE","DEMAGRSURWAT","GEO",2022,0
"EXAMPLE","DEMAGRSURWAT","HYD",2019,0
"EXAMPLE","DEMAGRSURWAT","HYD",2020,0
"EXAMPLE","DEMAGRSURWAT","HYD",2021,0
"EXAMPLE","DEMAGRSURWAT","HYD",2022,0
"EXAMPLE","DEMAGRSURWAT","LND",2019,0
"EXAMPLE","DEMAGRSURWAT","LND",2020,0
"EXAMPLE","DEMAGRSURWAT","LND",2021,0
"EXAMPLE","DEMAGRSURWAT","LND",2022,0
"EXAMPLE","DEMAGRSURWAT","PUBWAT",2019,0
"EXAMPLE","DEMAGRSURWAT","PUBWAT",2020,0
"EXAMPLE","DEMAGRSURWAT","PUBWAT",2021,0
"EXAMPLE","DEMAGRSURWAT","PUBWAT",2022,0
"EXAMPLE","DEMAGRSURWAT","SOL",2019,0
"EXAMPLE","DEMAGRSURWAT","SOL",2020,0
"EXAMPLE","DEMAGRSURWAT","SOL",2021,0
"EXAMPLE","DEMAGRSURWAT","SOL",2022,0
"EXAMPLE","DEMAGRSURWAT","WND",2019,0
"EXAMPLE","DEMAGRSURWAT","WND",2020,0
"EXAMPLE","DEMAGRSURWAT","WND",2021,0
"EXAMPLE","DEMAGRSURWAT","WND",2022,0
"EXAMPLE","DEMAGRSURWAT","WTREVT",2019,0
"EXAMPLE","DEMAGRSURWAT","WTREVT",2020,0
"EXAMPLE","DEMAGRSURWAT","WTREVT",2021,0
"EXAMPLE","DEMAGRSURWAT","WTREVT",2022,0
"EXAMPLE","DEMAGRSURWAT","WTRGWT",2019,0
"EXAMPLE","DEMAGRSURWAT","WTRGWT",2020,0
"EXAMPLE","DEMAGRSURWAT","WTRGWT",2021,0
"EXAMPLE","DEMAGRSURWAT","WTRGWT",2022,0
"EXAMPLE","DEMAGRSURWAT","WTRPRC",2019,0
"EXAMPLE","DEMAGRSURWAT","WTRPRC",2020,0
"EXAMPLE","DEMAGRSURWAT","WTRPRC",2021,0
"EXAMPLE","DEMAGRSURWAT","WTRPRC",2022,0
"EXAMPLE","DEMAGRSURWAT","WTRSUR",2019,0
"EXAMPLE","DEMAGRSURWAT","WTRSUR",2020,0
"EXAMPLE","DEMAGRSURWAT","WTRSUR",2021,0
"EXAMPLE","DEMAGRSURWAT","WTRSUR",2022,0
"EXAMPLE","DEMCOMELC","AGRELC",2019,0
"EXAMPLE","DEMCOMELC","AGRELC",2020,0
"EXAMPLE","DEMCOMELC","AGRELC",2021,0
"EXAMPLE","DEMCOMELC","AGRELC",2022,0
"EXAMPLE","DEMCOMELC","AGRWAT",2019,0
"EXAMPLE","DEMCOMELC","AGRWAT",2020,0
"EXAMPLE","DEMCOMELC","AGRWAT",2021,0
"EXAMPLE","DEMCOMELC","AGRWAT",2022,0
"EXAMPLE","DEMCOMELC","BIO",2019,0
"EXAMPLE","DEMCOMELC","BIO",2020,0
"EXAMPLE","DEMCOMELC","BIO",2021,0
"EXAMPLE","DEMCOMELC","BIO",2022,0
"EXAMPLE","DEMCOMELC","BLT",2019,0
"EXAMPLE","DEMCOMELC","BLT",2020,0
"EXAMPLE","DEMCOMELC","BLT",2021,0
"EXAMPLE","DEMCOMELC","BLT",2022,0
"EXAMPLE","DEMCOMELC","COMELC",2019,0
"EXAMPLE","DEMCOMELC","COMELC",2020,0
"EXAMPLE","DEMCOMELC","COMELC",2021,0
"EXAMPLE","DEMCOMELC","COMELC",2022,0
"EXAMPLE","DEMCOMELC","CRPCP01",2019,0
"EXAMPLE","DEMCOMELC","CRPCP01",2020,0
"EXAMPLE","DEMCOMELC","CRPCP01",2021,0
"EXAMPLE","DEMCOMELC","CRPCP01",2022,0
"EXAMPLE","DEMCOMELC","CRPCP02",2019,0
"EXAMPLE","DEMCOMELC","CRPCP02",2020,0
"EXAMPLE","DEMCOMELC","CRPCP02",2021,0
"EXAMPLE","DEMCOMELC","CRPCP02",2022,0
"EXAMPLE","DEMCOMELC","ELC001",2019,0
"EXAMPLE","DEMCOMELC","ELC001",2020,0
"EXAMPLE","DEMCOMELC","ELC001",2021,0
"EXAMPLE","DEMCOMELC","ELC001",2022,0
"EXAMPLE","DEMCOMELC","ELC002",2019,0
"EXAMPLE","DEMCOMELC","ELC002",2020,0
"EXAMPLE","DEMCOMELC","ELC002",2021,0
"EXAMPLE","DEMCOMELC","ELC002",2022,0
"EXAMPLE","DEMCOMELC","GEO",2019,0
"EXAMPLE","DEMCOMELC","GEO",2020,0
"EXAMPLE","DEMCOMELC","GEO",2021,0
"EXAMPLE","DEMCOMELC","GEO",2022,0
"EXAMPLE","DEMCOMELC","HYD",2019,0
"EXAMPLE","DEMCOMELC","HYD",2020,0
"EXAMPLE","DEMCOMELC","HYD",2021,0
"EXAMPLE","DEMCOMELC","HYD",2022,0
"EXAMPLE","DEMCOMELC","LND",2019,0
"EXAMPLE","DEMCOMELC","LND",2020,0
"EXAMPLE","DEMCOMELC","LND",2021,0
"EXAMPLE","DEMCOMELC","LND",2022,0
"EXAMPLE","DEMCOMELC","PUBWAT",2019,0
"EXAMPLE","DEMCOMELC","PUBWAT",2020,0
"EXAMPLE","DEMCOMELC","PUBWAT",2021,0
"EXAMPLE","DEMCOMELC","PUBWAT",2022,0
"EXAMPLE","DEMCOMELC","SOL",2019,0
"EXAMPLE","DEMCOMELC","SOL",2020,0
"EXAMPLE","DEMCOMELC","SOL",2021,0
"EXAMPLE","DEMCOMELC","SOL",2022,0
"EXAMPLE","DEMCOMELC","WND",2019,0
"EXAMPLE","DEMCOMELC","WND",2020,0
"EXAMPLE","DEMCOMELC","WND",2021,0
"EXAMPLE","DEMCOMELC","WND",2022,0
"EXAMPLE","DEMCOMELC","WTREVT",2019,0
"EXAMPLE","DEMCOMELC","WTREVT",2020,0
"EXAMPLE","DEMCOMELC","WTREVT",2021,0
"EXAMPLE","DEMCOMELC","WTREVT",2022,0
"EXAMPLE","DEMCOMELC","WTRGWT",2019,0
"EXAMPLE","DEMCOMELC","WTRGWT",2020,0
"EXAMPLE","DEMCOMELC","WTRGWT",2021,0
"EXAMPLE","DEMCOMELC","WTRGWT",2022,0
"EXAMPLE","DEMCOMELC","WTRPRC",2019,0
"EXAMPLE","DEMCOMELC","WTRPRC",2020,0
"EXAMPLE","DEMCOMELC","WTRPRC",2021,0
"EXAMPLE","DEMCOMELC","WTRPRC",2022,0
"EXAMPLE","DEMCOMELC","WTRSUR",2019,0
"EXAMPLE","DEMCOMELC","WTRSUR",2020,0
"EXAMPLE","DEMCOMELC","WTRSUR",2021,0
"EXAMPLE","DEMCOMELC","WTRSUR",2022,0
"EXAMPLE","DEMPUBGWTWAT","AGRELC",2019,0
"EXAMPLE","DEMPUBGWTWAT","AGRELC",2020,0
"EXAMPLE","DEMPUBGWTWAT","AGRELC",2021,0
"EXAMPLE","DEMPUBGWTWAT","AGRELC",2022,0
"EXAMPLE","DEMPUBGWTWAT","AGRWAT",2019,0
"EXAMPLE","DEMPUBGWTWAT","AGRWAT",2020,0
"EXAMPLE","DEMPUBGWTWAT","AGRWAT",2021,0
"EXAMPLE","DEMPUBGWTWAT","AGRWAT",2022,0
"EXAMPLE","DEMPUBGWTWAT","BIO",2019,0
"EXAMPLE","DEMPUBGWTWAT","BIO",2020,0
"EXAMPLE","DEMPUBGWTWAT","BIO",2021,0
"EXAMPLE","DEMPUBGWTWAT","BIO",2022,0
"EXAMPLE","DEMPUBGWTWAT","BLT",2019,0
"EXAMPLE","DEMPUBGWTWAT","BLT",2020,0
"EXAMPLE","DEMPUBGWTWAT","BLT",2021,0
"EXAMPLE","DEMPUBGWTWAT","BLT",2022,0
"EXAMPLE","DEMPUBGWTWAT","COMELC",2019,0
"EXAMPLE","DEMPUBGWTWAT","COMELC",2020,0
"EXAMPLE","DEMPUBGWTWAT","COMELC",2021,0
"EXAMPLE","DEMPUBGWTWAT","COMELC",2022,0
"EXAMPLE","DEMPUBGWTWAT","CRPCP01",2019,0
"EXAMPLE","DEMPUBGWTWAT","CRPCP01",2020,0
"EXAMPLE","DEMPUBGWTWAT","CRPCP01",2021,0
"EXAMPLE","DEMPUBGWTWAT","CRPCP01",2022,0
"EXAMPLE","DEMPUBGWTWAT","CRPCP02",2019,0
"EXAMPLE","DEMPUBGWTWAT","CRPCP02",2020,0
"EXAMPLE","DEMPUBGWTWAT","CRPCP02",2021,0
"EXAMPLE","DEMPUBGWTWAT","CRPCP02",2022,0
"EXAMPLE","DEMPUBGWTWAT","ELC001",2019,0
"EXAMPLE","DEMPUBGWTWAT","ELC001",2020,0
"EXAMPLE","DEMPUBGWTWAT","ELC001",2021,0
"EXAMPLE","DEMPUBGWTWAT","ELC001",2022,0
"EXAMPLE","DEMPUBGWTWAT","ELC002",2019,0
"EXAMPLE","DEMPUBGWTWAT","ELC002",2020,0
"EXAMPLE","DEMPUBGWTWAT","ELC002",2021,0
"EXAMPLE","DEMPUBGWTWAT","ELC002",2022,0
"EXAMPLE","DEMPUBGWTWAT","GEO",2019,0
"EXAMPLE","DEMPUBGWTWAT","GEO",2020,0
"EXAMPLE","DEMPUBGWTWAT","GEO",2021,0
"EXAMPLE","DEMPUBGWTWAT","GEO",2022,0
"EXAMPLE","DEMPUBGWTWAT","HYD",2019,0
"EXAMPLE","DEMPUBGWTWAT","HYD",2020,0
"EXAMPLE","DEMPUBGWTWAT","HYD",2021,0
"EXAMPLE","DEMPUBGWTWAT","HYD",2022,0
"EXAMPLE","DEMPUBGWTWAT","LND",2019,0
